"sex","age","race","priors.count","charge.degree","days","score"
2,69,6,0,6,1,0
2,69,6,0,6,1,0
2,34,1,0,6,1,0
2,24,1,4,6,1,0
2,24,1,4,6,1,0
2,24,1,4,6,1,0
2,24,1,4,6,1,0
2,24,1,4,6,1,0
2,23,1,1,6,1,0
2,43,6,2,9,76,0
2,44,6,0,10,0,0
2,43,6,3,6,1,0
2,43,6,3,6,1,0
2,43,6,3,6,1,0
1,39,3,0,10,1,0
2,20,3,0,6,1,0
2,20,3,0,6,1,0
2,20,3,0,6,1,0
2,21,3,1,5,308,0
2,27,3,0,6,1,0
1,37,3,0,10,0,0
2,22,3,0,10,0,0
2,41,1,0,6,1,0
1,47,3,1,6,490,0
1,47,3,1,6,490,0
2,31,1,7,6,71,0
2,31,1,7,6,71,0
2,37,4,0,10,0,0
2,25,1,3,6,1,0
2,25,1,3,6,1,0
2,31,3,5,6,1,0
2,31,3,5,6,1,0
2,31,3,5,6,1,0
2,21,1,1,6,1,0
2,21,1,1,6,1,0
2,21,1,1,6,1,0
2,21,1,1,6,1,0
2,21,1,1,6,1,0
2,21,1,1,6,1,0
2,27,3,0,10,0,0
1,21,3,0,6,2,0
2,24,4,1,6,1,0
2,42,3,1,4,133,0
2,43,3,1,11,1,0
2,32,6,0,10,1,0
1,54,1,0,6,1,0
2,27,1,8,6,1,0
2,27,1,8,6,1,0
2,27,1,8,6,1,0
2,27,1,8,6,1,0
1,36,3,3,6,95,0
1,36,3,3,6,95,0
2,33,1,0,6,1,0
2,33,1,0,6,1,0
2,30,3,9,6,0,0
2,30,3,9,6,0,0
2,32,1,4,6,1,0
2,32,1,4,6,1,0
2,63,1,0,10,1,0
2,27,4,2,6,1,0
2,55,3,0,6,1,0
2,32,1,15,6,0,0
2,38,1,5,6,1,0
2,38,1,5,6,1,0
2,38,1,5,6,1,0
2,49,6,7,6,0,0
2,49,6,7,6,0,0
2,49,6,7,6,0,0
2,26,3,6,11,382,0
2,26,3,6,11,382,0
2,26,3,6,11,382,0
2,24,3,1,10,0,0
2,24,3,1,10,0,0
2,34,1,21,5,0,0
2,34,1,21,5,0,0
2,34,1,21,5,0,0
2,34,1,21,5,0,0
2,29,3,0,10,1,0
1,21,1,2,5,1,0
1,21,1,2,5,1,0
1,21,1,2,5,1,0
1,21,1,2,5,1,0
2,51,1,2,10,1,0
2,29,3,2,10,1,0
2,29,3,2,10,1,0
1,51,1,7,6,1,0
1,51,1,7,6,1,0
2,36,1,22,10,1,0
2,36,1,22,10,1,0
2,29,6,0,10,2,0
2,25,3,9,10,1,0
2,35,1,13,6,1,0
2,49,3,0,10,0,0
2,34,1,4,11,59,0
2,29,1,0,6,1,0
2,29,3,1,6,24,0
2,29,3,1,6,24,0
1,28,6,0,6,1,0
2,51,3,0,6,1,0
2,25,3,0,6,0,0
2,33,3,1,6,0,0
2,33,3,1,6,0,0
1,63,4,1,4,219,0
2,24,1,2,6,1,0
2,24,1,2,6,1,0
2,24,1,2,6,1,0
2,32,3,3,6,1,0
2,49,1,4,10,1,0
1,31,4,0,10,1,0
2,35,1,5,6,1,0
2,33,1,2,5,1,0
2,27,1,15,6,1,0
2,27,1,15,6,1,0
2,27,1,15,6,1,0
2,38,3,4,10,1,0
2,22,1,1,6,1,0
1,34,3,0,10,0,0
2,22,1,2,6,114,0
2,22,1,2,6,114,0
2,22,1,2,6,114,0
2,29,1,4,6,1,0
2,29,1,4,6,1,0
2,29,1,4,6,1,0
2,29,1,4,6,1,0
2,62,4,0,11,1,0
2,33,6,0,10,1,0
1,56,1,0,10,1,0
2,45,4,6,6,1,0
2,45,4,6,6,1,0
2,22,4,1,6,1,0
1,31,3,2,6,1,0
2,34,1,0,6,0,0
2,39,1,1,10,1,0
1,24,4,1,11,325,0
2,40,1,2,6,15,0
2,51,1,1,6,78,0
2,51,1,1,6,78,0
2,22,1,1,10,1,0
2,22,1,1,10,1,0
2,22,1,1,10,1,0
2,22,3,0,6,1,0
2,22,3,0,6,1,0
2,22,3,0,6,1,0
2,22,3,0,6,1,0
2,22,3,0,6,1,0
1,26,1,1,5,1,0
1,59,1,2,6,67,0
2,32,3,3,10,711,0
2,32,1,0,6,1,0
2,41,1,1,11,5185,0
2,50,3,0,10,1,0
2,30,1,8,10,1,0
2,30,1,8,10,1,0
2,30,1,8,10,1,0
2,66,1,0,12,1372,0
2,50,6,0,6,1,0
2,50,6,0,6,1,0
2,25,1,14,5,1,0
2,25,1,14,5,1,0
2,25,1,14,5,1,0
2,25,1,14,5,1,0
2,25,1,14,5,1,0
2,22,1,2,6,0,0
2,22,1,2,6,0,0
2,22,1,2,6,0,0
1,35,1,1,11,1,0
2,26,3,7,6,1,0
2,26,3,7,6,1,0
2,26,3,7,6,1,0
2,25,3,9,6,1,0
2,25,3,9,6,1,0
2,34,1,3,10,21,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,39,3,2,6,3,0
2,66,3,3,5,64,0
1,54,3,0,10,1,0
1,44,4,0,10,2,0
2,19,1,1,11,10,0
2,24,1,1,5,137,0
2,24,1,1,5,137,0
2,30,1,1,6,1,0
1,39,3,0,6,1,0
1,32,1,8,10,1,0
2,30,3,0,6,1,0
2,30,3,0,6,1,0
2,30,3,0,6,1,0
1,39,3,1,6,1,0
1,39,3,1,6,1,0
1,39,3,1,6,1,0
1,39,3,1,6,1,0
1,39,3,1,6,1,0
2,59,1,14,6,265,0
1,24,6,0,5,1,0
2,43,3,1,6,30,0
2,21,1,2,6,1,0
2,21,1,2,6,1,0
2,21,1,2,6,1,0
2,21,1,2,6,1,0
2,21,1,2,6,1,0
2,21,1,2,6,1,0
1,21,1,0,10,1,0
2,21,1,3,6,1,0
2,21,1,3,6,1,0
2,21,1,3,6,1,0
2,21,1,3,6,1,0
2,21,1,3,6,1,0
2,20,1,0,6,0,0
2,20,1,0,6,0,0
2,20,1,0,6,0,0
2,20,1,0,6,0,0
2,20,1,0,6,0,0
2,20,1,0,6,0,0
2,38,3,5,10,1,0
2,38,3,5,10,1,0
2,27,1,3,6,2,0
2,27,1,3,6,2,0
2,30,1,3,6,0,0
2,37,1,3,6,0,0
2,37,1,3,6,0,0
2,42,3,1,6,1,0
2,42,3,1,6,1,0
2,42,3,1,6,1,0
2,41,1,10,6,0,0
2,41,1,10,6,0,0
2,22,1,0,6,1,0
2,22,1,0,6,1,0
2,33,1,28,6,1,0
2,33,1,28,6,1,0
2,33,1,28,6,1,0
2,44,3,0,11,3,0
2,26,1,9,6,0,0
2,26,1,9,6,0,0
1,30,6,1,6,1,0
1,30,6,1,6,1,0
1,30,6,1,6,1,0
2,31,3,13,6,0,0
2,27,1,3,6,1,0
1,31,3,1,6,1,0
1,31,3,1,6,1,0
2,47,4,2,6,1,0
2,56,1,8,6,79,0
2,56,1,8,6,79,0
2,33,2,2,12,132,0
2,33,2,2,12,132,0
2,33,2,2,12,132,0
2,52,3,3,10,2,0
2,33,1,19,6,1,0
2,33,1,19,6,1,0
2,61,3,0,6,1,0
1,64,3,2,10,48,0
2,42,3,6,6,5,0
2,42,3,6,6,5,0
2,42,3,6,6,5,0
1,25,3,2,6,1,0
1,25,3,2,6,1,0
2,27,3,0,6,1,0
2,30,3,1,11,20,0
2,28,3,2,6,161,0
1,37,6,2,11,222,0
2,28,3,0,11,1,0
2,28,3,0,11,1,0
2,28,3,0,11,1,0
1,24,1,0,10,1,0
2,37,1,13,6,5,0
2,37,1,13,6,5,0
2,22,1,0,5,1,0
2,22,1,0,5,1,0
1,29,3,10,6,1,0
1,29,3,10,6,1,0
1,29,3,10,6,1,0
1,29,3,10,6,1,0
1,25,3,0,6,1,0
1,25,3,0,6,1,0
2,44,3,2,10,1,0
2,53,4,1,6,1,0
2,34,6,1,10,0,0
2,31,3,2,10,16,0
2,27,1,5,6,78,0
2,27,1,5,6,78,0
2,31,1,1,11,1,0
2,59,3,1,6,1,0
2,59,3,1,6,1,0
2,59,3,1,6,1,0
2,28,1,15,5,1,0
1,45,3,4,6,375,0
2,23,3,0,10,1,0
1,20,1,1,6,0,0
1,20,1,1,6,0,0
1,20,1,1,6,0,0
2,42,1,2,5,41,0
1,43,3,0,10,0,0
2,38,1,9,6,1,0
2,38,1,9,6,1,0
2,38,1,9,6,1,0
2,38,1,9,6,1,0
2,38,1,9,6,1,0
2,55,1,4,12,1480,0
2,55,1,4,12,1480,0
2,55,1,4,12,1480,0
1,31,1,0,6,1,0
1,31,1,0,6,1,0
1,31,1,0,6,1,0
1,33,1,7,6,1,0
1,33,1,7,6,1,0
1,33,1,7,6,1,0
2,27,1,2,6,1,0
2,27,1,2,6,1,0
2,27,1,2,6,1,0
2,27,1,2,6,1,0
2,52,1,0,11,1,0
2,25,1,4,10,1,0
1,61,1,1,6,1,0
2,63,4,1,6,26,0
1,32,1,4,6,7,0
2,29,4,1,6,1,0
1,46,6,1,4,72,0
1,26,1,2,10,1,0
2,55,1,3,10,52,0
2,39,3,1,15,1672,0
2,48,3,2,10,1,0
2,33,3,0,10,1,0
2,22,1,1,6,1,0
2,22,1,1,6,1,0
2,46,3,6,6,31,0
2,46,3,6,6,31,0
2,41,3,5,6,1,0
2,31,1,0,10,1,0
2,25,1,1,10,1,0
2,25,1,1,10,1,0
2,31,1,3,9,19,0
2,23,4,0,6,2,0
2,52,4,2,11,1,0
2,52,4,2,11,1,0
2,62,1,8,6,1,0
1,37,3,6,6,111,0
1,37,3,6,6,111,0
2,55,3,1,6,45,0
2,31,4,8,6,61,0
2,31,4,8,6,61,0
2,31,4,8,6,61,0
2,54,4,2,5,1,0
2,58,4,0,6,1,0
2,58,4,0,6,1,0
2,78,3,1,10,1,0
2,56,3,0,6,1,0
2,21,4,1,10,155,0
2,24,6,0,5,1,0
2,38,1,22,6,35,0
2,38,1,22,6,35,0
2,38,1,22,6,35,0
2,35,3,0,6,1,0
2,47,1,23,10,1,0
2,47,1,23,10,1,0
2,47,1,23,10,1,0
2,47,1,23,10,1,0
2,47,1,23,10,1,0
2,47,1,23,10,1,0
2,23,1,0,10,1,0
2,23,1,0,10,1,0
2,57,4,1,6,0,0
2,66,1,3,5,10,0
2,45,3,8,10,0,0
2,45,3,8,10,0,0
2,45,6,2,6,117,0
2,32,1,13,5,1,0
2,32,1,13,5,1,0
2,37,1,2,10,0,0
2,39,3,0,6,0,0
2,39,3,0,6,0,0
2,26,1,9,5,1,0
2,26,1,9,5,1,0
2,25,1,3,6,0,0
2,45,3,2,6,1,0
1,57,3,7,6,0,0
1,57,3,7,6,0,0
2,23,1,0,6,1,0
2,34,1,2,10,1,0
2,34,1,2,10,1,0
2,38,1,14,6,1,0
2,38,1,14,6,1,0
2,38,1,14,6,1,0
2,38,1,14,6,1,0
1,23,1,1,10,1,0
2,36,6,2,10,1,0
2,36,6,2,10,1,0
2,50,3,1,6,4,0
2,50,3,1,6,4,0
1,37,3,0,11,1,0
2,44,3,4,10,0,0
1,35,1,23,6,1,0
2,31,3,1,4,36,0
2,40,2,3,4,109,0
2,40,2,3,4,109,0
2,26,1,2,6,1,0
2,26,1,2,6,1,0
2,26,1,2,6,1,0
2,26,1,2,6,1,0
2,26,1,2,6,1,0
2,27,1,0,10,1,0
1,31,3,1,10,1,0
1,28,1,0,5,1,0
1,28,3,7,6,1,0
1,28,3,7,6,1,0
1,28,3,7,6,1,0
1,28,3,7,6,1,0
2,38,1,0,6,1,0
2,38,1,2,6,1,0
2,38,1,2,6,1,0
2,27,3,2,11,36,0
1,28,1,1,4,1,0
1,28,1,1,4,1,0
2,56,3,7,6,1,0
2,38,1,15,6,1,0
2,28,4,0,10,5,0
1,24,6,1,6,1,0
2,61,3,1,6,34,0
1,51,3,0,10,1,0
2,51,3,0,10,1,0
2,20,3,0,6,1,0
2,36,6,1,10,1,0
2,36,6,1,10,1,0
2,36,6,1,10,1,0
2,48,1,0,6,1,0
2,37,3,4,6,0,0
2,37,3,4,6,0,0
2,37,3,4,6,0,0
2,27,1,11,5,1,0
2,37,1,0,10,1,0
2,33,6,4,6,1,0
2,54,1,11,6,1,0
2,23,1,2,4,1,0
1,26,1,2,9,227,0
2,41,1,0,10,0,0
2,52,3,0,6,1,0
2,43,3,13,6,1,0
2,43,3,13,6,1,0
2,52,1,0,6,1,0
2,28,3,1,6,3,0
2,30,1,11,10,1,0
2,30,1,11,10,1,0
2,47,3,1,5,38,0
1,34,1,0,10,1,0
2,22,1,0,6,1,0
2,30,1,4,6,0,0
2,25,4,4,6,0,0
2,31,3,0,5,1,0
2,31,3,0,5,1,0
2,37,3,0,6,1,0
2,37,3,0,6,1,0
2,37,3,0,6,1,0
2,32,1,14,5,1,0
2,26,1,4,10,1562,0
2,26,1,4,10,1562,0
2,26,1,4,10,1562,0
2,53,3,1,10,1,0
2,28,1,25,6,70,0
2,28,1,25,6,70,0
2,28,1,25,6,70,0
2,28,1,25,6,70,0
2,25,1,0,6,1,0
1,30,6,0,10,1,0
2,22,3,1,10,0,0
2,22,3,1,10,0,0
1,30,1,2,5,153,0
1,37,6,0,10,2,0
1,33,3,0,6,1,0
1,40,6,3,6,1,0
2,24,6,0,10,1,0
2,30,3,4,6,140,0
2,22,1,3,11,208,0
2,22,1,3,11,208,0
2,27,1,3,10,46,0
2,27,1,3,10,46,0
1,31,4,0,10,1,0
2,47,1,0,10,1,0
2,24,4,0,10,3,0
2,29,1,1,10,1,0
2,20,1,1,6,1,0
2,39,3,1,10,1,0
2,38,1,1,10,729,0
2,39,6,0,5,1,0
2,39,6,0,5,1,0
2,27,1,4,6,1,0
2,27,1,4,6,1,0
2,18,1,2,9,5,0
2,18,1,2,9,5,0
2,18,1,2,9,5,0
2,31,3,2,10,1016,0
2,31,3,2,10,1016,0
1,37,1,2,6,0,0
1,37,1,2,6,0,0
2,31,3,0,6,1,0
2,27,1,2,6,1,0
2,20,1,0,6,1,0
2,46,1,5,10,1422,0
1,52,1,0,6,1,0
1,23,1,0,6,1,0
1,48,1,0,6,1,0
2,22,1,3,10,1,0
2,22,1,3,10,1,0
2,22,1,3,10,1,0
2,22,1,3,10,1,0
2,22,1,3,10,1,0
2,22,1,3,10,1,0
2,22,1,3,10,1,0
1,22,3,1,6,1,0
2,35,1,2,6,1,0
2,32,3,2,6,232,0
1,41,1,2,10,1,0
2,35,3,9,6,0,0
2,43,1,0,5,0,0
1,25,6,0,6,1,0
2,43,1,0,6,1,0
2,37,1,0,10,0,0
2,47,6,1,10,1,0
1,45,3,3,6,1,0
2,23,1,2,6,1,0
2,37,3,3,6,4,0
2,28,1,3,10,100,0
2,70,3,1,10,13,0
2,54,3,6,6,322,0
2,54,3,6,6,322,0
2,46,3,3,6,1,0
2,21,1,0,11,1,0
2,21,1,0,11,1,0
2,26,1,1,10,1,0
2,38,4,3,6,82,0
2,38,4,3,6,82,0
2,34,3,5,10,1,0
1,34,3,0,6,1,0
1,34,3,0,6,1,0
2,34,1,5,11,1,0
1,32,1,3,10,26,0
2,34,1,5,6,1,0
2,34,1,5,6,1,0
2,34,1,5,6,1,0
2,34,1,5,6,1,0
2,34,1,5,6,1,0
2,30,1,2,5,83,0
2,39,1,6,5,1,0
2,39,1,6,5,1,0
2,39,1,6,5,1,0
2,39,1,6,5,1,0
2,39,1,6,5,1,0
2,24,6,0,6,1,0
2,33,3,1,10,93,0
2,33,3,0,6,1,0
2,40,3,6,10,2417,0
2,58,3,2,5,1,0
2,44,2,2,5,372,0
2,56,1,13,6,1,0
2,23,1,4,10,11,0
2,23,1,4,10,11,0
2,23,1,4,10,11,0
2,23,1,4,10,11,0
2,62,3,0,6,0,0
2,62,3,0,6,0,0
2,62,3,0,6,0,0
2,27,1,4,10,707,0
2,27,1,4,10,707,0
2,27,1,4,10,707,0
2,27,1,4,10,707,0
2,57,6,6,10,1,0
2,37,3,5,6,1,0
2,43,6,2,6,1,0
1,32,1,5,5,2,0
1,33,1,2,6,1,0
1,33,1,2,6,1,0
2,23,4,0,6,1,0
2,23,4,0,6,1,0
2,27,1,0,10,1,0
2,44,3,0,10,1,0
2,44,3,0,10,1,0
2,28,3,3,10,1,0
2,28,3,3,10,1,0
1,42,3,0,6,3,0
1,42,3,0,6,3,0
2,24,6,9,6,1,0
2,27,1,0,5,0,0
2,20,1,0,6,1,0
2,20,1,0,6,1,0
2,20,1,0,6,1,0
2,24,1,1,6,1,0
2,24,1,1,6,1,0
2,24,1,1,6,1,0
2,31,3,6,6,1,0
1,51,3,0,10,1,0
2,56,3,0,10,1,0
2,54,1,1,6,256,0
2,54,1,1,6,256,0
2,29,1,7,6,1,0
2,42,3,0,5,1,0
2,20,1,0,6,1,0
2,20,1,0,6,1,0
2,20,1,0,6,1,0
2,20,1,0,6,1,0
2,53,3,6,6,176,0
2,48,1,8,10,1072,0
2,48,1,8,10,1072,0
2,24,6,0,6,1,0
2,24,1,2,6,1,0
2,24,1,2,6,1,0
2,24,1,2,6,1,0
2,24,1,2,6,1,0
1,22,1,0,6,1,0
2,36,3,0,10,0,0
2,28,3,2,10,1,0
2,46,4,1,6,28,0
2,21,6,0,6,0,0
2,45,1,1,5,1,0
1,25,3,2,11,2,0
1,25,3,2,11,2,0
1,25,3,2,11,2,0
1,25,3,2,11,2,0
1,23,4,1,11,1,0
1,23,4,1,11,1,0
2,54,4,2,6,1,0
1,21,1,0,6,1,0
1,21,1,0,6,1,0
1,21,1,0,6,1,0
1,21,1,0,6,1,0
1,21,1,0,6,1,0
2,36,3,0,10,1,0
2,24,1,0,6,1,0
2,30,6,1,6,1,0
2,29,1,0,6,1,0
2,22,1,2,5,1,0
2,31,1,8,5,770,0
2,31,1,8,5,770,0
2,38,1,2,6,1127,0
2,38,1,2,6,1127,0
2,51,4,1,11,2,0
2,33,6,3,6,94,0
2,37,1,4,10,1,0
2,32,1,12,6,1,0
2,32,1,12,6,1,0
2,47,1,3,6,0,0
2,47,1,3,6,0,0
1,32,4,1,6,80,0
2,37,3,0,6,0,0
2,37,3,0,6,0,0
2,37,3,0,6,0,0
2,19,1,2,6,1,0
2,19,1,2,6,1,0
2,19,1,2,6,1,0
2,27,4,0,10,1,0
2,39,6,0,10,1,0
2,69,3,0,11,1,0
2,36,3,3,6,106,0
2,36,3,3,6,106,0
2,36,3,3,6,106,0
2,26,1,6,10,0,0
2,26,1,6,10,0,0
2,26,1,6,10,0,0
2,26,1,6,10,0,0
2,26,1,6,10,0,0
2,26,1,6,10,0,0
2,26,1,6,10,0,0
2,22,3,0,6,3,0
2,28,3,0,6,2,0
2,29,1,2,10,1,0
2,29,1,2,10,1,0
1,60,3,0,10,1,0
2,23,1,3,6,1,0
2,23,1,3,6,1,0
2,30,3,0,10,2,0
1,20,6,1,4,21,0
1,20,6,1,4,21,0
2,36,4,1,6,1,0
2,36,4,1,6,1,0
2,30,3,0,6,1,0
2,21,1,1,6,2,0
2,34,1,11,10,1,0
2,57,1,18,6,1834,0
2,29,3,2,11,1,0
2,36,1,1,6,32,0
2,29,1,7,10,24,0
2,21,1,4,6,0,0
2,21,1,4,6,0,0
2,21,1,4,6,0,0
2,37,1,1,6,5935,0
2,33,3,3,6,1,0
2,33,3,3,6,1,0
2,33,3,3,6,1,0
2,33,3,3,6,1,0
2,34,3,1,10,0,0
2,27,3,0,10,1,0
1,50,3,1,10,1,0
1,50,3,1,10,1,0
2,26,1,1,6,1,0
2,25,1,7,6,1,0
2,25,1,7,6,1,0
1,53,3,1,10,1,0
1,24,1,0,6,1,0
2,39,3,2,10,0,0
2,42,1,1,5,13,0
2,28,1,1,10,1,0
2,24,3,1,11,37,0
1,23,4,0,10,1,0
2,26,1,6,6,1,0
2,26,1,6,6,1,0
2,26,1,6,6,1,0
2,22,3,1,11,22,0
2,22,1,4,6,1,0
2,37,1,23,6,1,0
2,37,1,23,6,1,0
2,37,1,23,6,1,0
2,37,1,23,6,1,0
2,37,1,23,6,1,0
2,44,3,0,10,0,0
2,64,3,13,6,499,0
2,53,1,2,6,1,0
2,60,1,1,4,1183,0
2,29,1,7,6,1,0
2,29,1,7,6,1,0
1,44,1,2,12,1032,0
2,48,3,23,6,1,0
2,23,1,0,6,1,0
2,48,4,8,6,1,0
1,52,3,0,10,1,0
2,44,1,7,10,1,0
2,27,1,12,6,1,0
2,27,1,12,6,1,0
2,28,1,5,6,0,0
2,28,1,5,6,0,0
2,33,3,3,10,1,0
1,28,4,0,9,1,0
2,47,3,5,6,312,0
2,47,3,5,6,312,0
2,22,1,0,10,0,0
2,22,1,0,10,0,0
2,22,1,0,10,0,0
2,22,1,0,10,0,0
2,40,3,0,10,0,0
2,65,3,0,10,0,0
2,25,3,0,6,1,0
2,68,3,2,6,150,0
1,32,3,1,6,1,0
2,56,1,5,6,1,0
2,56,1,5,6,1,0
2,27,1,9,5,1,0
2,27,1,9,5,1,0
2,27,1,9,5,1,0
2,52,3,4,6,1,0
2,52,3,4,6,1,0
2,52,3,4,6,1,0
1,31,1,0,5,1,0
2,32,1,3,6,1,0
2,32,1,3,6,1,0
2,32,1,3,6,1,0
2,60,6,4,6,1,0
2,60,6,4,6,1,0
2,31,1,4,5,1,0
2,31,1,4,5,1,0
2,51,3,3,3,341,0
2,23,4,1,11,5,0
2,56,3,0,10,1,0
1,27,1,1,6,31,0
1,47,3,1,6,1,0
2,25,3,0,10,0,0
2,25,3,0,10,0,0
2,21,4,0,10,0,0
2,22,3,0,6,1,0
1,43,4,0,11,3,0
1,59,3,0,6,2,0
1,58,3,2,10,23,0
1,58,3,2,10,23,0
2,53,1,4,6,25,0
2,53,1,4,6,25,0
2,31,1,7,10,1,0
2,31,1,7,10,1,0
2,31,1,7,10,1,0
2,42,6,1,6,1,0
1,41,3,0,10,2,0
2,29,1,8,6,614,0
2,29,1,8,6,614,0
2,48,4,1,11,0,0
2,37,3,0,6,0,0
2,27,3,3,10,22,0
2,26,1,3,5,0,0
2,26,1,3,5,0,0
2,24,3,3,6,0,0
2,24,3,3,6,0,0
2,24,3,3,6,0,0
2,24,3,3,6,0,0
2,24,3,3,6,0,0
2,24,3,3,6,0,0
2,24,3,3,6,0,0
2,33,3,0,5,1,0
2,28,3,1,6,1,0
1,24,1,3,6,1,0
1,24,1,3,6,1,0
2,24,3,0,10,1,0
2,19,3,1,6,1,0
2,19,3,1,6,1,0
2,19,3,1,6,1,0
2,19,3,1,6,1,0
2,19,3,1,6,1,0
2,36,3,2,10,1,0
2,33,6,0,6,1,0
2,32,3,0,10,1,0
2,34,3,0,10,0,0
2,31,1,1,6,0,0
2,24,1,4,6,1,0
2,20,1,1,6,1,0
2,20,1,1,6,1,0
2,20,1,1,6,1,0
2,22,1,1,6,1,0
2,24,1,1,10,1,0
2,61,3,4,6,1,0
1,27,3,1,6,14,0
1,27,3,1,6,14,0
1,27,3,1,6,14,0
1,50,1,3,6,1,0
2,30,1,1,10,1,0
2,38,1,5,6,1,0
2,24,3,0,10,1,0
2,27,1,2,6,1,0
2,34,3,0,10,1,0
2,45,1,16,6,77,0
1,46,1,2,6,1,0
1,46,1,2,6,1,0
1,46,1,2,6,1,0
2,41,3,0,10,1,0
2,20,6,0,6,1,0
2,27,1,13,10,1,0
1,51,1,16,6,122,0
2,28,3,1,5,1,0
2,55,1,5,6,1,0
2,46,3,2,10,11,0
2,59,3,0,11,1,0
2,26,1,10,5,1,0
2,26,1,10,5,1,0
2,28,1,5,6,1,0
2,63,3,2,6,3,0
2,63,3,2,6,3,0
