EC501,KI/IC50(enzyme kinetics)-1,In-vivo PK/PD1,In-vivo PK/PD2,NumAtoms,MolWt,ALOGP,HAC,RBC,HeavyAtomMolWt,NumValenceElectrons,MolLogP,mode_,NumHDo0rs,NumHAcceptors,TPSA,lipgo
63.544126984127,49.6216666666667,279.754392489424,22.7266687153879,25,360.837,4.68,25,6,339.669,132,4.68,Oral,0,4,52.6,1
7.96543604651163,516.654402247191,43.6090184233825,31.5843975046853,29,391.555,6.86230000000001,29,6,358.291,154,6.86230000000001,Intrave0us,2,2,49.33,1
0.106287551515152,0.06967222972973,36.8488165849784,16.6051627510438,36,508.564,2.1439,36,7,484.372,186,2.1439,Oral,2,12,138.72,1
7.19939005343511,3.9367140625,1.27680709771725,68.0909477713284,22,307.478,3.2043,22,12,274.214,126,3.2043,Oral,3,3,66.48,1
126.000526315789,33.3665391666667,20.2502781243117,4.13459603338903,19,266.257,-2.0218,19,2,252.145,102,-2.0218,Oral,6,6,134.26,1
6.7425,4.00605375,47.2777888839586,2.71236295673917,29,388.555,5.81080000000001,29,1,356.299,152,5.81080000000001,Oral,1,3,38.05,1
0.001,0.168888888888889,11.4341773815427,5.79984194359089,41,567.587,5.6213,41,11,538.355,214,5.6213,Oral,2,5,83.14,1
0.1496465,0.011332372881356,4.86848304916156,24.0747007199051,49,724.784,3.69262,49,4,689.504,264,3.69262,Oral,4,9,185.89,1
67.1692010191483,10.5931937126039,16.7034008832049,32.4981873752035,33,440.507,4.2173,33,5,416.315,166,4.2173,Oral,1,7,99.16,1
38.2078776978417,25.7942360326594,28.9462668447007,2.82886593749839,31,415.432,3.7543,31,5,397.288,154,3.7543,Oral,2,7,101.38,1
125.586502205544,12.8675603488479,121.301856958618,16.316477335269,37,493.615,4.59032,37,7,462.367,188,4.59032,Oral,2,7,86.28,1
0.00472,0.06552598015625,0.739861510933103,27.6867235435057,31,413.561,5.72870000000001,31,6,382.313,160,5.72870000000001,Oral,1,3,32.7,1
102.368236540541,33.1893085416667,44.0987470092224,11.0481257398459,19,259.265,0.0298,19,1,246.161,98,0.0298,Oral,2,4,92.5,1
226.1977,2.87700875,67.9080626497655,11.5800931583892,35,522.967,3.5759,35,6,499.783,186,3.5759,Oral,4,7,169.94,1
59.4249436363636,24.1831202258687,18.9940032770818,8.22958620456191,96,1349.776,10.23334,96,32,1253.008,514,10.23334,Oral,8,14,265.78,1
2.16968333333333,4.1954,2.2133821083559,4.3771667725026,25,337.463,4.221,25,0,310.247,132,4.221,Oral,1,3,46.26,1
41.505,22.4780246153846,0.717688607211197,12.308615991234,14,215.768,3.1159,14,0,193.592,82,3.1159,Oral,1,1,26.02,1
44.9254721875,6.84148140634921,8.58964987791807,13.9740096166432,32,429.604,5.40650000000001,32,2,394.324,168,5.40650000000001,Oral,1,3,40.54,1
7.39496410305882,2.68486777777778,28.1722558340842,7.41125962136908,31,414.469,2.97718,31,6,392.293,156,2.97718,Oral,2,7,103.17,1
7.41495253910615,2.37520389908257,20.3608162461628,18.3499610853306,65,974.634,8.83320000000001,65,16,919.194,350,8.83320000000001,Oral,2,11,128.36,1
175.021538609023,8.53964571976967,19.5555080430574,17.8315804181856,39,529.526,6.35584,39,6,507.35,196,6.35584,Oral,2,7,97.62,1
645.863516415106,227.339268473227,24.0456983155109,3.05835373649033,32,434.471,2.3474,32,4,411.287,164,2.3474,Oral,1,4,86.37,1
2.54863810280374,8.7512209133059,2.25245870072649,14.4845589652585,37,499.619,4.5098,37,10,466.355,192,4.5098,Oral,2,8,87.55,1
0.903298245614035,1.80089555555556,9.40595584121102,9.24226059078489,35,472.589000000001,4.9648,35,4,440.333,182,4.9648,Oral,1,7,68.74,1
5.71741171761972,26.7094711499312,2.14689769454774,6.54592710836972,33,447.543,2.96582,33,5,418.311,172,2.96582,Oral,2,9,105.04,1
2.96166863819095,4.35363055555556,1.15665413502766,9.60432591586279,26,349.434,3.32722,26,7,326.25,134,3.32722,Oral,4,3,77.15,1
0.181807,34.1791826160714,0.071005922476393,19.0777184137198,35,507.693,4.47752,35,2,466.365,196,4.47752,Intrave0us,2,8,109.25,1
17.0998923333333,11.7805484306569,715.299564681448,22.6349442301279,31,437.529,3.13904,31,5,414.345,160,3.13904,Oral,2,8,119.03,1
1010.45454545455,2280.03909090909,498.620653331006,2.22110346418863,14,185.226,2.14592,14,1,174.138,70,2.14592,Oral,0,2,22,1
10.6079396634615,1.6706214654504,6.0039232225957,21.2380032645344,39,532.57,4.45602,39,4,505.354,200,4.45602,Oral,1,6,65.77,1
11.2990909090909,2.76614406779661,20.6706251228847,7.82510149244354,26,358.486,3.2393,26,10,328.246,142,3.2393,Oral,2,5,70.39,1
15.6937015,3.93685719409938,3.35146444756296,33.6704552578389,34,473.594,6.07520000000001,34,7,446.378,174,6.07520000000001,Oral,2,6,70,1
2.54594401234568,3.18356938636364,629.803706803126,7.9906616523116,32,473.479,-1.5275,32,11,449.287,168,-1.5275,Oral,1,9,123.22,1
9.5584,11.545726423913,7.28404049439925,6.60794368715707,29,421.365,2.0507,29,3,400.197,154,2.0507,Intrave0us,6,3,134.68,1
8.47436862745098,6.7750711,12.0612230030772,12.4865925179066,38,542.036,3.9395,38,8,509.78,202,3.9395,Oral,1,10,90.44,1
8.3006052238806,2.40422781065089,46.4324783920406,26.465159991607,25,349.777,4.8782,25,3,337.681,122,4.8782,Oral,2,4,75.11,1
9.48574395555556,13150.9661179109,5.21460084410612,90.7625712669907,65,914.187,6.18060000000001,65,6,834.555,366,6.18060000000001,Oral,3,13,195.43,1
20.291771792033,2.85438428648649,9.56103939469755,21.9708540271352,39,552.563,3.87022,39,3,530.387,200,3.87022,Oral,3,8,142.86,1
6.24642857142857,161.862444,0.660190074275755,11.4642879372989,37,492.583,4.00788,37,7,464.359,186,4.00788,Oral,0,8,96.93,1
3.98,1.22,2.07443510439526,54.4728959303384,63,881.992,4.5646,63,10,821.512,344,4.5646,Oral,3,15,201.51,1
4.08318181818182,2.32593696296296,53.7284377434523,5.11832133012765,29,433.339,4.6672,29,7,411.163,152,4.6672,Oral,4,4,90.04,1
8.99753425925926,205.627709977974,9.51550066151599,76.07747498446,30,475.362,5.0042,30,6,451.17,158,5.0042,Oral,1,6,59.51,1
6.29803270331378,10.6428532506887,227.565249142003,22.5780003258709,33,489.931,5.5442,33,7,471.787,170,5.5442,Oral,2,4,91.92,1
0.011756530612245,0.010288918918919,9.70855478905461,26.2195219845317,28,377.4,3.8148,28,6,358.248,142,3.8148,Oral,2,5,89.23,1
61.5170653144432,83.6998371373236,48.0046508242841,6.40268726516021,19,264.325,2.4711,19,8,244.165,104,2.4711,Oral,3,3,78.43,1
18.975,13.2538274468085,25.7246613531219,11.2606404092235,41,561.727,2.6229,41,9,518.383,220,2.6229,Oral,3,5,110.85,1
2.96972363333333,2.02269100429799,2730.40173960882,7.57594506711231,36,469.548,5.89378000000001,36,3,446.364,174,5.89378000000001,Oral,0,6,76.5,1
7.96543604651163,516.654402247191,43.6090184233825,31.5843975046853,29,391.555,6.86230000000001,29,6,358.291,154,6.86230000000001,Oral,2,2,49.33,1
51.54575,0.361117391304348,125.498905610854,4.28059024145347,28,369.428,3.51382,28,3,350.276,138,3.51382,Oral,1,5,86.69,1
5.97186666666667,1.53795851851852,11.6499352986723,18.219346569199,38,569.448,2.1869,38,5,540.216,206,2.1869,Oral,9,7,234.46,1
27.3333333333333,1381.36043520548,305.317655159627,7.12071785432881,23,310.353,3.14144,23,4,292.209,118,3.14144,Oral,3,2,82.19,1
64.849014084507,14.2651941747573,105.415235560794,413.05733583348,31,461.668,6.98830000000001,31,20,409.252,186,6.98830000000001,Oral,0,4,58.59,1
7.03338863636364,6.79279069767442,18.1496666305088,49.8375150639023,19,500.28,2.8439,19,2,478.104,120,2.8439,Oral,2,6,113.62,1
331.333333333333,4955.54904761905,168.780847678291,16.1563817946055,18,244.265,3.6808,18,3,231.161,92,3.6808,Oral,1,1,37.3,1
2.43725141176471,2.50744311111111,0.748881336261063,12.2594586236814,28,369.424,3.5926,28,2,350.272,138,3.5926,Oral,2,3,66.89,1
8.20166727272727,6.83461333333333,47.4763459585783,3.62148982801454,15,213.193,-1.3107,15,2,202.105,82,-1.3107,Intrave0us,2,7,99.6,1
2.59295030309524,1158.22172496347,5.25035200052254,54.7603255597916,57,778.947,4.7536,57,7,724.515,302,4.7536,Intrave0us,2,11,133.87,1
0.968966697247706,0.822331060606061,12.4840072690739,23.175008286814,45,653.217,2.335,45,7,603.825,252,2.335,Intrave0us,4,10,169.52,0
0.968966697247706,0.822331060606061,12.4840072690739,23.175008286814,45,653.217,2.335,45,7,603.825,252,2.335,Oral,4,10,169.52,0
1.59116590909091,1.23254300578035,77.767442611018,4.23235943846712,37,503.591,6.63682,37,6,482.423,180,6.63682,Oral,2,9,111.73,0
0.920285714285714,1.3474,7.71603133975797,15.670012181421,38,552.437,5.2732,38,9,528.245,194,5.2732,Intrave0us,2,6,93.25,0
0.012,6.7975664516129,10.8464482255852,4.29967918059151,24,330.428,3.1897,24,4,304.22,130,3.1897,Oral,2,3,65.56,0
6.4905,19.0074,8.03114525977811,15.2727984710588,25,461.231,1.83472,25,6,444.095,134,1.83472,Oral,3,6,92.59,0
54.9633226315789,69.0351111111111,1141.86382394556,2.94172335052765,32,444.488,1.8454,32,8,416.264,172,1.8454,Intrave0us,4,8,144.78,0
0.918010344827586,6.74371416666667,6.414758939941,12.271895419006,36,491.672,6.29058000000001,36,1,450.344,194,6.29058000000001,Intrave0us,1,4,95.23,0
6.29333333333333,59.8357142857143,127.31121694875,4.06881773773576,14,191.19,1.7412,14,1,182.118,72,1.7412,Oral,2,3,67.01,0
0.205034146341463,6.64879780487805,99.711563364453,3.77596782123261,22,318.768,2.13064,22,3,303.648,114,2.13064,Oral,1,7,91.74,0
5.93874482758621,17.0564525547445,5.83532375870792,2.7591919629386,34,485.947,4.3915,34,9,460.747,178,4.3915,Oral,2,7,88.61,0
6.02275172413793,4.29164172413793,3.96507595918095,5.50583504003459,32,434.496,4.198,32,11,408.288,166,4.198,Oral,3,7,105.6,0
5,0.004120666666667,5.04184257074803,4.62424222541198,40,564.712,4.0676,40,9,528.424,212,4.0676,Oral,3,8,129.46,0
0.032934555555556,0.325526666666667,0.831525790443739,3.42691398070401,29,398.365,2.7479,29,1,382.237,148,2.7479,Intrave0us,1,6,81.42,0
7.85196398405579,20.2125169068754,65.3837347167052,44.7496637684741,58,807.89,3.2596,58,8,754.466,314,3.2596,Intrave0us,5,14,224.45,0
1.45126086956522,2.69750625,3.34805411996679,27.0021178859672,42,563.654,5.5602,42,8,530.39,214,5.5602,Oral,2,6,92.89,0
0.9025,6.15320833333333,22.2094611656032,22.6558069273957,23,311.425,3.8163,23,2,286.225,122,3.8163,Oral,1,2,52.32,0
7.96543604651163,516.654402247191,43.6090184233825,31.5843975046853,29,391.555,6.86230000000001,29,6,358.291,154,6.86230000000001,Oral,2,2,49.33,0
126.000526315789,33.3665391666667,20.2502781243117,4.13459603338903,19,266.257,-2.0218,19,2,252.145,102,-2.0218,Intrave0us,6,6,134.26,0
84.2888888888889,10.9859464864865,83.9059080247404,10.458110799043,31,433.43,4.25504,31,4,411.254,164,4.25504,Oral,1,5,67.59,0
0.023058823529412,6.96283559322034,8.95700104692653,18.2155099971583,28,378.407,3.48962,28,3,359.255,142,3.48962,Oral,1,6,90.99,0
15.0948176923077,10.5792422666667,41.7943767784169,8.80290383330094,28,377.358,3.2131,28,3,364.254,138,3.2131,Oral,0,7,73.79,0
4.81293333333333,0.54045,15.8961732938045,8.53977119424959,25,332.407,2.7787,25,3,312.247,126,2.7787,Oral,2,3,61.02,0
0.08875,1.31428571428571,15.8282944389368,4.16685136209604,30,421.478,3.841,30,6,402.326,152,3.841,Oral,2,5,101.15,0
0.551057894736842,0.010557142857143,31.3697088260336,0.962347861657948,38,512.545000000001,3.4168,38,2,487.345,192,3.4168,Intrave0us,1,6,91.95,0
11.8128461538462,17.6031055932203,4.26810798701524,5.79867124422277,31,424.524,5.04714,31,5,395.292,164,5.04714,Oral,3,5,91.83,0
0.347058823529412,0.288789473684211,4.14342319358619,6.86510525221922,30,400.394,3.1454,30,3,384.266,148,3.1454,Oral,1,6,99.17,0
2.614375,13.0404553571429,62.7183596160014,11.5622535840726,34,476.87,5.868,34,4,461.75,168,5.868,Oral,2,5,87.47,0
2.21736666666667,4.46611578947368,28.4342829466716,3.6962344118073,32,558.278,5.141,32,6,536.102,164,5.141,Oral,3,6,105.82,0
186.263333333333,90.2628181818182,931.12641583756,9.72727825304692,24,331.28,2.5394,24,6,318.176,124,2.5394,Oral,0,7,104.97,0
28.640701754386,59.0261538461538,292.777391875302,10.6544494724934,30,413.426,2.8818,30,4,390.242,158,2.8818,Oral,0,8,75.69,0
2.96166863819095,4.35363055555556,1.15665413502766,9.60432591586279,26,349.434,3.32722,26,7,326.25,134,3.32722,Intrave0us,4,3,77.15,0
0.009868571428571,0.033895,8.63778339766683,15.6230668603499,39,527.514,4.75816,39,3,507.354,194,4.75816,Oral,1,9,134.49,0
5.459076,14.7030972,2.2286727865086,17.9105440849753,33,467.932,5.09758,33,8,444.748,170,5.09758,Oral,2,6,90.28,0
15.008234,4.22368977272727,36.4366646096727,9.05190942746996,28,372.392,1.6736,28,5,356.264,138,1.6736,Oral,1,9,107.43,0
5.0847012987013,2.28633333333333,154.552923214902,10.8803466389379,48,713.772,7.36480000000001,48,8,667.404,258,7.36480000000001,Oral,0,6,82.52,0
0.00275,237.082,10.9633436659381,3.39883203139983,35,498.653,2.8076,35,8,464.381,188,2.8076,Intrave0us,3,7,116.32,0
0.034285714285714,0.4475,7.30889577729207,10.7363783280674,29,400.463,3.9881,29,5,384.335,142,3.9881,Intrave0us,1,6,87.26,0
48.7896428571429,52.996305483871,4.47471373414164,16.1606633400116,25,358.547,6.89610000000001,25,10,328.307,136,6.89610000000001,Oral,1,2,37.3,0
7.64759375,2.12533585676056,15.1576044875872,6.73919628907026,33,473.936,3.7637,33,7,448.736,174,3.7637,Oral,2,7,88.61,0
3.4788,3.38409565217391,53.8592009513093,15.5895437632825,38,562.513,5.3025,38,4,528.241,204,5.3025,Oral,4,4,90.46,0
2.2,17.3390037037037,3.7590902476542,1.2357924550694,38,525.598,3.1346,38,8,490.318,204,3.1346,Oral,1,9,119.44,0
11.6408333333333,3.31816333333333,7.50208070791401,8.97914327173175,33,438.491,2.4301,33,3,416.315,164,2.4301,Oral,2,6,94.22,0
7.91666666666667,9.23692307692308,80.1070107689473,10.0569192198824,32,430.46,5.3176,32,5,408.284,162,5.3176,Oral,2,5,93.41,0
0.012241666666667,4.68655238095238,1.13737332919018,15.7705443780869,40,561.609,3.5526,40,6,527.337,216,3.5526,Oral,2,8,102.93,0
7.35024242424242,100.417812025316,5.33711647349972,25.9691174375182,41,562.715,5.0345,41,10,520.379,220,5.0345,Oral,1,8,92.29,0
0.135272727272727,59.2115236363636,52.8915380897601,0.973574811356554,44,643.314,2.5149,44,11,583.842,254,2.5149,Intrave0us,2,6,122.37,0
1.2235,1.27891,11.7002947963555,8.94885108213566,41,580.133,3.8427,41,9,541.829,218,3.8427,Oral,4,9,114.88,0
61.5170653144432,83.6998371373236,48.0046508242841,6.40268726516021,19,264.325,2.4711,19,8,244.165,104,2.4711,Intrave0us,3,3,78.43,0
